study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,effect_source,extraction_method,effect_direction,flag,study_design,genai_tool,measure_type,measure_instrument,source,reliability,review_needed,extraction_status,mean_difference,standard_error,confidence_interval_lower,confidence_interval_upper,u_value,z_value,effect_size,sample_size_total,relative_effect,verification_status,verification_confidence,data_tier,verification_method
4,004_02,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 2,affective,,20.0,20.0,4.2,0.92,3.0,1.33,1.0285,0.3365,0.369,1.6881,1.0494,,,0.03,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_03,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 1,affective,,20.0,20.0,4.0,0.94,2.7,0.84,1.4294,0.3543,0.7349,2.1239,1.4584,,,0.03,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_04,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 2,affective,,20.0,20.0,3.8,1.03,3.8,1.03,0.0,0.3162,-0.6198,0.6198,0.0,,,0.04,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_05,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 1,cognitive,evaluate,20.0,20.0,4.3,0.48,3.2,0.79,1.6494,0.3661,0.9319,2.3669,1.6829,,,0.05,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_06,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 2,cognitive,evaluate,20.0,20.0,4.2,0.92,3.2,0.79,1.1431,0.3411,0.4745,1.8116,1.1662,,,0.05,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_07,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 1,cognitive,understand,20.0,20.0,4.4,0.97,3.0,1.33,1.1789,0.3426,0.5074,1.8503,1.2027,,,0.01,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_08,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 2,cognitive,understand,20.0,20.0,4.4,0.84,2.0,0.82,2.8339,0.4476,1.9565,3.7113,2.8914,,,0.01,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_09,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 1,affective,,20.0,20.0,3.6,0.97,2.7,0.82,0.9822,0.3348,0.3261,1.6383,1.0021,,,0.01,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_10,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 2,affective,,20.0,20.0,4.2,0.63,3.2,0.82,1.3404,0.3499,0.6546,2.0263,1.3676,,,0.005,,calculated_from_table,table_ocr,,,,,post-test,5-point Likert scale questionnaire,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_11,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 1 Performance - Arm 1 vs Arm 2,cognitive,apply,20.0,20.0,71.43,15.06,54.29,23.13,0.8608,0.3305,0.2129,1.5086,0.8782,,,0.065,,calculated_from_table,table_ocr,,,,,post-test,Single Best Answer (SBA) questions,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
4,004_12,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 2 Performance - Arm 2 vs Arm 1,cognitive,apply,20.0,20.0,63.33,18.92,68.33,26.59,-0.2124,0.3171,-0.8339,0.4092,-0.2167,,,0.634,,calculated_from_table,table_ocr,,,,,post-test,Single Best Answer (SBA) questions,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
5,005_01,ChatGPT for Operating Systems: Higher-Order Thinking in Focus,2025.0,Mohammed Ahmed Kofahi; A. Husain,HOT tasks performance,cognitive,analyze,23.0,30.0,28.74,9.896,23.1,8.486,0.6092,0.2834,0.0538,1.1647,0.6184,,4.977,0.03,0.089,calculated_from_table,table_ocr,,,,,post-test,HOT test,OpenAlex,,,,,,,,,,,,,NOT_CHECKED,0.0,3,none
6,006_01,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,critical thinking gains,cognitive,evaluate,120.0,120.0,78.6,8.4,66.3,9.1,1.4002,0.1441,1.1178,1.6825,1.4046,,42.7,<0.001,0.15,calculated_M_SD,,positive,,,,gain_score,Watson-Glaser Critical Thinking Appraisal,OpenAlex,0.89,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_02,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,logical coherence,cognitive,analyze,120.0,120.0,4.2,0.5,3.5,0.6,1.3059,,,,1.31,10.1,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_03,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,evidence use,cognitive,evaluate,120.0,120.0,4.0,0.6,3.2,0.7,1.1962,,,,1.2,9.3,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_04,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,originality,cognitive,create,120.0,120.0,3.9,0.6,3.1,0.8,1.1165,,,,1.12,8.7,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_05,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,lexical sophistication,cognitive,apply,120.0,120.0,55.2,5.4,48.6,6.1,0.9669,,,,0.97,7.5,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_06,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,syntactic complexity,cognitive,apply,120.0,120.0,40.1,4.8,34.7,5.2,0.8772,,,,0.88,6.8,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_07,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,text cohesion,cognitive,analyze,120.0,120.0,4.1,0.5,3.4,0.7,1.266,,,,1.27,9.8,,<0.001,,from_cohens_d,,positive,,,,post-test,Essay-Quality Rubric,OpenAlex,0.92,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
6,006_08,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025.0,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,cognitive offloading behavior,behavioral,,120.0,120.0,,,,,,,,,,,,,,insufficient_data,,positive,,,,post-test,Cognitive Offloading Scale,OpenAlex,0.9,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
7,007_01,Cross-lingual effects of AI-generated content on human work,2025.0,Wesley Wu-Yi Koo,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenAlex,,,ocr_failed,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
8,008_01,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Cognitive competency,cognitive,understand,210.0,210.0,4.1,0.5,2.3,0.6,3.2534,0.1487,2.9619,3.545,3.2593,,,0.001,,calculated_from_table,table_ocr,,extreme_value,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
8,008_02,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Technical proficiency,cognitive,apply,210.0,210.0,3.9,0.6,2.3,0.7,2.4499,0.1291,2.1968,2.7029,2.4543,,,0.001,,calculated_from_table,table_ocr,,,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
8,008_03,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Application capability,cognitive,apply,210.0,210.0,4.0,0.4,2.6,0.5,3.0865,0.1444,2.8034,3.3696,3.0921,,,0.001,,calculated_from_table,table_ocr,,extreme_value,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
8,008_04,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Innovation competency,cognitive,create,210.0,210.0,3.7,0.5,2.4,0.6,2.3497,0.1269,2.101,2.5984,2.3539,,,0.001,,calculated_from_table,table_ocr,,,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
8,008_05,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Collaborative skills,behavioral,,210.0,210.0,3.8,0.4,2.7,0.5,2.4251,0.1286,2.1732,2.6771,2.4295,,,0.001,,calculated_from_table,table_ocr,,,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
8,008_06,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Overall AI literacy,cognitive,understand,210.0,210.0,3.9,0.3,2.5,0.4,3.9527,0.1677,3.624,4.2814,3.9598,,,0.001,,calculated_from_table,table_ocr,,extreme_value,,,post-test,AI literacy assessment,OpenAlex,,,,,,,,,,,,,PARTIALLY_VERIFIED,50.0,2,pdf_cross_check
10,010_01,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025.0,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,SAT Score,cognitive,,71.0,124.0,1194.0,183.2,1311.0,163.9,-0.6809,0.1528,-0.9804,-0.3815,-0.6836,,,<0.001,,calculated_from_table,table_ocr,,,RCT,GPT-based tools,baseline,SAT,Frontiers in Education,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
10,010_02,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025.0,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,SAT Score,cognitive,,71.0,71.0,1131.4,117.7,1420.3,86.0,-2.7877,0.2357,-3.2496,-2.3259,-2.8028,,,<0.001,,calculated_from_table,table_ocr,,,RCT,GPT-based tools,baseline_split,SAT,Frontiers in Education,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
10,010_03,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025.0,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,Quiz Accuracy - Socratic Tool,cognitive,understand,70.0,,2.2,,,,,,,,0.26,,,0.03,,,table_ocr,,,RCT,GPT-based tools,post_test,Reading Comprehension Quiz,Frontiers in Education,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
10,010_04,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025.0,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,Quiz Accuracy - Socratic Tool (No SAT/ACT),cognitive,understand,52.0,,2.5,,,,,,,,0.34,,,0.017,,,table_ocr,,,RCT,GPT-based tools,post_test,Reading Comprehension Quiz,Frontiers in Education,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
10,010_05,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025.0,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,Quiz Accuracy - Summary Tool,cognitive,understand,70.0,,2.9,,,,,,,,0.35,,,0.005,,,table_ocr,,,RCT,GPT-based tools,post_test,Reading Comprehension Quiz,Frontiers in Education,,,,,,,,,,,,,FLAGGED_FOR_REVIEW,0.0,3,manual_review_issues
11,011_01,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,theoretical knowledge test,cognitive,understand,20.0,20.0,,,,,3.0776,,,,3.14,,,,,from_cohens_d,,positive,extreme_value,RCT,ChatGPT,gain_score,researcher-developed test,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
11,011_02,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,Mini Clinical Evaluation Exercise,cognitive,apply,20.0,20.0,,,,,,,,,,,,> .05,,insufficient_data,,,,RCT,ChatGPT,post-test,Mini-CEX,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
11,011_03,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,AI self-efficacy,affective,,20.0,20.0,,,,,1.6662,,,,1.7,,,< .000001,,from_cohens_d,,positive,,RCT,ChatGPT,gain_score,AI Self-Efficacy Scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
11,011_04,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,internet addiction,behavioral,,20.0,20.0,,,,,,,,,,,,> .05,,insufficient_data,,,,RCT,ChatGPT,gain_score,Internet Addiction Test,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
11,011_05,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,reading motivation,affective,,20.0,20.0,,,,,1.284,,,,1.31,,,< .001,,from_cohens_d,,positive,,RCT,ChatGPT,gain_score,Adult Reading Motivation Scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_01,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,overall writing score,cognitive,create,125.0,134.0,,,,,,,,,,,,< .001,,insufficient_data,,positive,,,,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_02,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,content score,cognitive,create,125.0,134.0,,,,,,,,,,,,< .001,,insufficient_data,,positive,,,,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_03,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,organization score,cognitive,create,125.0,134.0,,,,,,,,,,,,< .001,,insufficient_data,,positive,,,,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_04,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,language usage score,cognitive,apply,125.0,134.0,,,,,,,,,,,,< .05,,insufficient_data,,positive,,,,pre-post_change,comprehensive multi-dimensional rubric,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_05,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,writing motivation score,affective,,125.0,134.0,,,,,,,,,,,,< .05,,insufficient_data,,positive,,,,pre-post_change,writing motivation scale,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_06,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived usefulness,affective,,125.0,134.0,,,,,,,,,,,,,,insufficient_data,,,,,,post-test,technology acceptance model,Semantic Scholar,0.78,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_07,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived ease of use,affective,,125.0,134.0,,,,,,,,,,,,,,insufficient_data,,,,,,post-test,technology acceptance model,Semantic Scholar,0.71,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_08,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,attitude toward use,affective,,125.0,134.0,,,,,,,,,,,,,,insufficient_data,,,,,,post-test,technology acceptance model,Semantic Scholar,0.75,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_09,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived stress,affective,,125.0,134.0,24.97,5.54,24.6,5.56,0.0665,0.1244,-0.1773,0.3103,0.0667,,,0.591,,calculated_M_SD,,,,,,post-test,perceived stress scale,Semantic Scholar,0.81,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
12,012_10,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,AI engagement,behavioral,,125.0,,,,,,,,,,,,,,,insufficient_data,,,,,,post-test,system-logged token counts,Semantic Scholar,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
13,013_01,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,post-test scores,cognitive,understand,72.0,70.0,115.42,22.7,110.93,29.01,0.1718,0.1682,-0.1578,0.5013,0.1727,,,0.28,,calculated_M_SD,,positive,,quasi-experimental,ChatGPT,post-test,researcher-developed test,Frontiers in Medicine,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
13,013_02,Enhancing Ophthalmology Students' Awareness of Retinitis Pigmentosa: Assessing the Efficacy of ChatGPT in AI-Assisted Teaching of Rare Diseases,2025.0,Jiamu Zeng; Kexin Sun; Peng Qin; Shulin Liu,review time,behavioral,,72.0,70.0,24.29,12.62,42.54,20.43,-1.0725,0.1795,-1.4243,-0.7206,-1.0782,,,< 0.0001,,calculated_M_SD,,positive,,quasi-experimental,ChatGPT,post-test,time measurement,Frontiers in Medicine,,,,,,,,,,,,,OCR_VERIFIED,100.0,1,ocr_cache
