Study_ID,ES_ID,Outcome_Name,Hedges_g,SE_g,n_Treatment,n_Control,ES_Type,Conversion_Method,Hedges_g_Calc,g_Diff,g_Discrepancy
10,010_03,Quiz Accuracy - Socratic Tool,,,70.0,,Post_Only_Assumed,Missing_ES,,,False
10,010_04,Quiz Accuracy - Socratic Tool (No SAT/ACT),,,52.0,,Post_Only_Assumed,Missing_ES,,,False
10,010_05,Quiz Accuracy - Summary Tool,,,70.0,,Post_Only_Assumed,Missing_ES,,,False
11,011_01,theoretical knowledge test,3.0776,,20.0,20.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
11,011_02,Mini Clinical Evaluation Exercise,,,20.0,20.0,Post_Only_Assumed,Missing_ES,,,False
11,011_03,AI self-efficacy,1.6662,,20.0,20.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
11,011_04,internet addiction,,,20.0,20.0,Post_Only_Assumed,Missing_ES,,,False
11,011_05,reading motivation,1.284,,20.0,20.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
12,012_01,overall writing score,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_02,content score,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_03,organization score,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_04,language usage score,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_05,writing motivation score,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_06,perceived usefulness,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_07,perceived ease of use,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_08,attitude toward use,,,125.0,134.0,Post_Only_Assumed,Missing_ES,,,False
12,012_09,perceived stress,0.0665,0.1244,125.0,134.0,Post_Only_Assumed,Calculated_from_MSD,0.06646762296385862,3.2377036141381654e-05,False
12,012_10,AI engagement,,,125.0,,Post_Only_Assumed,Missing_ES,,,False
13,013_01,post-test scores,0.1718,0.1682,72.0,70.0,Post_Only,Calculated_from_MSD,0.1717522525127496,4.774748725042133e-05,False
13,013_02,review time,-1.0725,0.1795,72.0,70.0,Post_Only_Assumed,Calculated_from_MSD,-1.0724523172505165,-4.7682749483524134e-05,False
13,013_03,complex questions performance,,,72.0,70.0,Post_Only_Assumed,Missing_ES,,,False
14,014_01,academic achievement,,,35.0,33.0,Post_Only_Assumed,Missing_ES,,,False
14,014_02,goal setting,0.1494,0.243,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,0.14944803376882365,-4.8033768823646517e-05,False
14,014_03,environmental structure,-0.0425,0.2427,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,-0.04250383230344962,3.832303449614882e-06,False
14,014_04,task strategy,-0.0691,0.2427,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,-0.06914277451083227,4.277451083227468e-05,False
14,014_05,time management,-0.0944,0.2428,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,-0.09436736139123789,-3.2638608762111665e-05,False
14,014_06,help seeking,0.2179,0.2434,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,0.21786805707635618,3.194292364383511e-05,False
14,014_07,self-evaluation,0.1141,0.2428,35.0,33.0,Post_Only_Assumed,Calculated_from_MSD,0.1140552509295709,4.474907042908982e-05,False
14,014_08,cognitive load,,,35.0,33.0,Post_Only_Assumed,Missing_ES,,,False
14,014_09,technology acceptance - perceived usefulness,,,35.0,33.0,Post_Only_Assumed,Missing_ES,,,False
14,014_10,technology acceptance - perceived ease of use,,,35.0,33.0,Post_Only_Assumed,Missing_ES,,,False
15,015_01,Task Performance - Passed Tests,,,6.0,6.0,Post_Only_Assumed,Missing_ES,,,False
15,015_02,Task Performance - Passed Tests,,,6.0,6.0,Post_Only_Assumed,Missing_ES,,,False
16,016_01,Database Report,0.0297,,30.0,38.0,Post_Only_Assumed,Calculated_from_MSD,0.029380915451505923,0.0003190845484940773,False
16,016_02,Database Exam,0.2273,,30.0,37.0,Post_Only_Assumed,Calculated_from_MSD,0.22545015092940335,0.0018498490705966542,False
16,016_03,Python Report,0.0689,,30.0,20.0,Post_Only_Assumed,Calculated_from_MSD,0.06304791517806796,0.005852084821932044,True
16,016_04,Python Assignment1,0.71,,35.0,21.0,Post_Only_Assumed,Calculated_from_MSD,0.710838638670191,-0.000838638670191072,False
16,016_05,Python Assignment2,0.6691,,29.0,20.0,Post_Only_Assumed,Direct_Reported,0.6922637194249756,-0.023163719424975526,False
16,016_06,Python Quiz,0.2169,,35.0,21.0,Post_Only_Assumed,Calculated_from_MSD,0.2074980704998949,0.0094019295001051,False
16,016_07,Python Exam,0.3355,,37.0,22.0,Post_Only_Assumed,Calculated_from_MSD,0.3335905826751264,0.0019094173248735968,False
17,017_01,Writing Score,,,12.0,,Post_Only_Assumed,Missing_ES,,,False
17,017_02,Syntactic Complexity,,,12.0,,Post_Only_Assumed,Missing_ES,,,False
17,017_03,Lexical Complexity,,,12.0,,Post_Only_Assumed,Missing_ES,,,False
17,017_04,Accuracy,,,12.0,,Post_Only_Assumed,Missing_ES,,,False
17,017_05,Fluency,,,12.0,,Post_Only_Assumed,Missing_ES,,,False
19,019_01,Knowledge Retention,0.1405,0.1958,89.0,37.0,Post_Only_Assumed,Calculated_from_MSD,0.1405020504333471,-2.05043334708388e-06,False
19,019_02,Knowledge Transfer,0.9328,0.2042,89.0,37.0,Post_Only_Assumed,Calculated_from_MSD,0.9327615979765441,3.8402023455841316e-05,False
20,020_01,Physics Achievement - Bottom Third Subgroup,0.6665,,42.0,38.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_02,Physics Achievement - Medium Third Subgroup,-0.5338,,42.0,38.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_03,Self-Regulated Learning - Top Third Subgroup,-0.4724,,42.0,38.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_04,Physics Achievement - Top Third Subgroup,0.3764,,87.0,88.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_05,Learner Autonomy - Whole Sample,-0.2728,,87.0,88.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_06,Learner Autonomy - Bottom Third Subgroup,-0.3913,,87.0,88.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_07,Autonomy Technical-Psychological Dimension - Whole Sample,-0.2977,,87.0,88.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
20,020_08,Autonomy Technical-Psychological Dimension - Bottom Third Subgroup,-0.5466,,87.0,88.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
21,021_01,learning performance,4.2029,0.5997,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,4.202884479065951,1.552093404821875e-05,False
21,021_02,learning performance - novelty,4.131510989305382,0.5927566776806783,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,4.131510989305382,0.0,False
21,021_03,learning performance - fluency,4.3867,0.6177,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,4.386739911538108,-3.991153810734005e-05,False
21,021_04,learning performance - originality,1.4038,0.3764,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,1.4037760928843859,2.3907115614063557e-05,False
21,021_05,AI awareness,0.7987,0.3509,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,0.7986908821656055,9.117834394500868e-06,False
21,021_06,AI awareness - perceived comfort,2.2767,0.4316,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,2.2767296232824226,-2.9623282422619468e-05,False
21,021_07,AI awareness - attitude,1.5109,0.3821,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,1.5109215534698368,-2.1553469836899097e-05,False
21,021_08,critical thinking,-1.1217,0.363,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-1.1216578658796108,-4.213412038911457e-05,False
21,021_09,critical thinking - truth seeking,-1.6168,0.3881,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-1.6168278984620865,2.789846208650637e-05,False
21,021_10,critical thinking - analyticity,-1.4035,0.3764,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-1.4034572870816786,-4.27129183213637e-05,False
21,021_11,critical thinking - systematicity,-0.4542,0.3423,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-0.4542418591798551,4.185917985510823e-05,False
21,021_12,critical thinking - inquisitiveness,-1.0353,0.3594,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-1.035318983758553,1.898375855291512e-05,False
21,021_13,critical thinking - open-mindedness,-0.8349,0.3521,21.0,15.0,Post_Only_Assumed,Calculated_from_MSD,-0.834898034193504,-1.9658064960292876e-06,False
21,021_14,cognitive load,,,21.0,15.0,Post_Only_Assumed,Missing_ES,,,False
22,022_01,Math Quiz Score Improvement - Schoolwide,,,,,Change_Score,Missing_ES,,,False
22,022_02,Math Quiz Score Improvement - Elementary,,,,,Change_Score,Missing_ES,,,False
22,022_03,Math Quiz Score Improvement - High School,,,,,Change_Score,Missing_ES,,,False
22,022_04,Math Quiz Score Improvement - Grade 1,,,,,Change_Score,Missing_ES,,,False
22,022_05,Math Quiz Score Improvement - Grade 4,,,,,Change_Score,Missing_ES,,,False
22,022_06,Math Quiz Score Improvement - Grade 5,,,,,Change_Score,Missing_ES,,,False
22,022_07,Math Quiz Score Improvement - Grade 6,,,,,Change_Score,Missing_ES,,,False
22,022_08,Math Quiz Score Improvement - Grade 7,,,,,Change_Score,Missing_ES,,,False
22,022_09,Math Quiz Score Improvement - Grade 8,,,,,Change_Score,Missing_ES,,,False
22,022_10,Math Quiz Score Improvement - Grade 9,,,,,Change_Score,Missing_ES,,,False
22,022_11,Math Quiz Score Improvement - Grade 10,,,,,Change_Score,Missing_ES,,,False
23,023_01,Feature Implementation (FI) Query Performance,-0.3273,0.4824,32.0,5.0,Post_Only_Assumed,Calculated_from_MSD,-0.3273315060177967,3.150601779672302e-05,False
23,023_02,Best Practices (BP) Query Performance,0.1684,0.5298,4.0,33.0,Post_Only_Assumed,Calculated_from_MSD,0.16844857099817587,-4.857099817587307e-05,False
23,023_03,Documentation (DOC) Query Performance,0.7455,1.0175,1.0,36.0,Post_Only_Assumed,Calculated_from_MSD,0.7455435296522995,-4.3529652299478805e-05,False
23,023_04,Concept Clarification (CC) Query Performance,-0.0663,0.3703,27.0,10.0,Post_Only_Assumed,Calculated_from_MSD,-0.06627492737155906,-2.507262844093916e-05,False
23,023_05,Error Fixing (EF) Query Performance,-0.8672,0.4573,31.0,6.0,Post_Only_Assumed,Calculated_from_MSD,-0.867225922045981,2.5922045981063846e-05,False
23,023_06,Code Understanding (CU) Query Performance,-1.1365,0.5457,33.0,4.0,Post_Only_Assumed,Calculated_from_MSD,-1.1364871260701765,-1.2873929823520314e-05,False
23,023_07,Code Optimization (CO) Query Performance,-0.2671,0.3333,16.0,21.0,Post_Only_Assumed,Calculated_from_MSD,-0.2670525401926591,-4.745980734088828e-05,False
24,024_01,Tutoring Protocols,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_02,Difficulty Identification,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_03,AI's Role,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_04,Problem Context,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_05,Learner's Level,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_06,Guardrails,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_07,Tutoring Protocols,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_08,Difficulty Identification,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_09,AI's Role,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_10,Problem Context,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_11,Learner's Level,,,,,Post_Only_Assumed,Missing_ES,,,False
24,024_12,Guardrails,,,,,Post_Only_Assumed,Missing_ES,,,False
25,025_01,Knowledge Construction,0.9372,0.2698,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.9371604778476693,3.952215233071765e-05,False
25,025_02,Critical Thinking,1.6065,0.2945,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.6064733613684035,2.663863159657609e-05,False
25,025_03,Problem-solving,0.8188,0.2666,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.8187968170225385,3.182977461491099e-06,False
25,025_04,Creativity,0.718,0.2642,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.7180467338508015,-4.673385080156134e-05,False
25,025_05,Attitudes towards science,0.4876,0.2599,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.4875961885997982,3.8114002017808346e-06,False
25,025_06,Attitudes towards mathematics,1.329,0.283,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.3290388827553623,-3.888275536234609e-05,False
25,025_07,Attitudes towards engineering/technology,1.0415,0.2729,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.0415105763161052,-1.0576316105126438e-05,False
25,025_08,Attitudes towards 21st century learning,1.3173,0.2825,31.0,30.0,Post_Only_Assumed,Calculated_from_MSD,1.317342083852135,-4.208385213511079e-05,False
26,026_01,Thermodynamics Knowledge - Pretest,-0.0444,0.1826,60.0,60.0,Pre_Test_Remove,Calculated_from_MSD,-0.04444689981701636,4.689981701636037e-05,False
26,026_02,Thermodynamics Knowledge - Posttest,0.6101,,60.0,60.0,Post_Only,Direct_Reported,1.54412317931201,-0.9340231793120101,True
26,026_03,Thermodynamics Learning Gains,,,60.0,60.0,Change_Score,Missing_ES,,,False
27,027_01,Amount of feedback given across both sessions (min 12 - number of required peer reviews),,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_02,Amount of feedback given (Session 1),,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_03,Amount of feedback given (Session 2),,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_04,Overall quality of feedback given across both sessions (max 9),,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_05,Session 1: Total quality of feedback,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_06,Session 1: Average Clarity,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_07,Session 1: Average Relevance,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_08,Session 1: Average Specificity,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_09,Session 2: Total quality of feedback,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_10,Session 2: Average Clarity,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_11,Session 2: Average Relevance,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_12,Session 2: Average Specificity,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_13,I provided honest and unbiased ratings to my peers regardless of how that impacted their grades,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_14,I felt motivated to give peer feedback on the platform,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_15,How would you rate the quality of open-ended feedback you received from your peers overall?,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_16,How often did you consult the AI feedback assistant for insight into the feedback you provided?,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_17,Do you feel that the AI feedback assistant helped you improve the quality of your open-ended feedback?,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_18,"Overall, I found my experience on the platform enjoyable",,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
27,027_19,Using the platform helped me improve my skills in giving feedback,,,17.0,17.0,Post_Only_Assumed,Missing_ES,,,False
28,028_01,Perceived Enjoyment (PE),,,33.0,,Post_Only_Assumed,Missing_ES,,,False
28,028_02,Perceived Usefulness (PU),,,33.0,,Post_Only_Assumed,Missing_ES,,,False
28,028_03,Perceived Ease of Use (PEU),,,33.0,,Post_Only_Assumed,Missing_ES,,,False
28,028_04,Behavioral Intention (BI),,,33.0,,Post_Only_Assumed,Missing_ES,,,False
29,029_01,,,,,,Unknown,Missing_ES,,,False
30,030_01,learning outcomes,,,,,Post_Only_Assumed,Missing_ES,,,False
30,030_02,motivation,,,,,Post_Only_Assumed,Missing_ES,,,False
30,030_03,perceived choice,,,,,Post_Only_Assumed,Missing_ES,,,False
30,030_04,perceived value,,,,,Post_Only_Assumed,Missing_ES,,,False
30,030_05,recall test,-0.1491,0.2587,29.0,31.0,Post_Only_Assumed,Calculated_from_MSD,-0.14906669537586717,-3.330462413284052e-05,False
30,030_06,final test,1.523,,29.0,31.0,Post_Only,Calculated_from_MSD,1.5236304761338328,-0.0006304761338329357,False
31,031_01,literal comprehension skills,0.0359,0.2582,30.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.03586270265069865,3.729734930135037e-05,False
31,031_02,deductive comprehension skills,0.03,0.2582,30.0,30.0,Post_Only_Assumed,Calculated_from_MSD,0.029960683523595426,3.9316476404573086e-05,False
31,031_03,critical comprehension skills,-0.0164,0.2582,30.0,30.0,Post_Only_Assumed,Calculated_from_MSD,-0.01644051484212828,4.0514842128278744e-05,False
31,031_04,aesthetic comprehension skills,,,30.0,30.0,Post_Only_Assumed,Missing_ES,,,False
31,031_05,creative comprehension skills,,,30.0,30.0,Post_Only_Assumed,Missing_ES,,,False
31,031_06,inferential comprehension skills,,,30.0,30.0,Post_Only_Assumed,Missing_ES,,,False
32,032_01,knowledge,-0.0314,0.2462,33.0,33.0,Post_Only_Assumed,Calculated_from_MSD,-0.03144225462724102,4.2254627241021525e-05,False
32,032_02,self-efficacy,1.5092,0.279,33.0,33.0,Post_Only_Assumed,Calculated_from_MSD,1.5091574693231347,4.2530676865437655e-05,False
32,032_03,problem solving abilities,0.9866,0.2607,33.0,33.0,Post_Only_Assumed,Calculated_from_MSD,0.9865945989240426,5.401075957478518e-06,False
32,032_04,decision-making skills,1.0232,0.2618,33.0,33.0,Post_Only_Assumed,Calculated_from_MSD,1.0231794653051784,2.0534694821661148e-05,False
33,033_01,Access Skill,,,30.0,,Post_Only_Assumed,Missing_ES,,,False
33,033_02,Analysis Skill,,,30.0,,Post_Only_Assumed,Missing_ES,,,False
33,033_03,Collective Inference Skill,,,30.0,,Post_Only_Assumed,Missing_ES,,,False
33,033_04,Evaluation Skill,,,30.0,,Post_Only_Assumed,Missing_ES,,,False
34,034_01,Academic Performance - Pre-Training,0.5405,0.1663,75.0,75.0,Pre_Test_Remove,Calculated_from_MSD,0.5404570423654913,4.2957634508677955e-05,False
34,034_02,Academic Performance - Post-Training,1.2611,0.1788,75.0,75.0,Post_Only,Calculated_from_MSD,1.2610664321861462,3.35678138538853e-05,False
34,034_03,Moral Behavior Level - Pre-Training,2.9848,0.2374,75.0,75.0,Pre_Test_Remove,Calculated_from_MSD,2.984771573604061,2.8426395938918603e-05,False
34,034_04,Moral Behavior Level - Post-Training,2.1974,0.2068,75.0,75.0,Post_Only,Calculated_from_MSD,2.197419199052784,-1.9199052784024673e-05,False
34,034_05,Self-Efficacy - Pre-Training,3.9797,0.2819,75.0,75.0,Pre_Test_Remove,Calculated_from_MSD,3.979695431472081,4.568527918635823e-06,False
34,034_06,Self-Efficacy - Post-Training,2.8141,0.2304,75.0,75.0,Post_Only,Calculated_from_MSD,2.8140696266510314,3.0373348968382174e-05,False
34,034_07,Academic Performance - Paired t-test,0.9065847519076502,0.1714827096472747,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_08,Academic Performance - Independent t-test,1.4817299170963745,0.184350423082585,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_09,Moral Behavior Level - Paired t-test,0.3980524448340041,0.1649085175568394,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_10,Moral Behavior Level - Independent t-test,0.8838388979171358,0.1710864420643492,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_11,Self-Efficacy - Paired t-test,1.6263285603217883,0.1883697125877577,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_12,Self-Efficacy - Control Group Paired t-test,0.4841617492266662,0.1656745061801827,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_13,Self-Efficacy - Experimental Group Independent t-test,0.9715729061662632,0.1726649347917941,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_14,Self-Efficacy - Control Group Independent t-test,2.022756301299327,0.2007614094262651,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_15,Academic Achievement - ANOVA,0.8800437563348654,0.1710212171346387,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_16,Moral Behavior Level - ANOVA,0.9300631381640688,0.1719013034754885,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
34,034_17,Self-Efficacy - ANOVA,1.0031148444752012,0.1732651089247006,75.0,75.0,Post_Only_Assumed,Direct_Reported_NoMSD,,,False
35,035_01,autonomous motivation,,,168.0,118.0,Post_Only_Assumed,Missing_ES,,,False
35,035_02,autonomy,0.0289,0.1201,168.0,118.0,Post_Only_Assumed,Calculated_from_MSD,0.02892667912578857,-2.6679125788572206e-05,False
35,035_03,competence,-0.364,0.1211,168.0,118.0,Post_Only_Assumed,Calculated_from_MSD,-0.3639907020482908,-9.297951709175134e-06,False
35,035_04,relatedness,-0.0922,0.1202,168.0,118.0,Post_Only_Assumed,Calculated_from_MSD,-0.0921641901091616,-3.5809890838400804e-05,False
36,036_01,Exercise programme,0.86,0.2819,27.0,28.0,Post_Only_Assumed,Calculated_from_MSD,0.8600246142600187,-2.4614260018762657e-05,False
36,036_02,Test programme,0.0456,0.2698,27.0,28.0,Post_Only_Assumed,Calculated_from_MSD,0.045573586378263094,2.6413621736907922e-05,False
