study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment,blooms_category,academic_level,hedges_g_original
4,004_02,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 2,affective,not_reported,20.0,20.0,4.2,0.92,3.0,1.33,1.0285,0.3365,0.369,1.6881,1.0494,,,0.03,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,not_classified,not_specified,1.0285
4,004_03,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 1,affective,not_reported,20.0,20.0,4.0,0.94,2.7,0.84,1.4294,0.3543,0.7349,2.1239,1.4584,,,0.03,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,not_classified,not_specified,1.4294
4,004_04,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 2,affective,not_reported,20.0,20.0,3.8,1.03,3.8,1.03,0.0,0.3162,-0.6198,0.6198,0.0,,,0.04,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,not_classified,not_specified,0.0
4,004_05,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 1,cognitive,evaluate,20.0,20.0,4.3,0.48,3.2,0.79,1.6494,0.3661,0.9319,2.3669,1.6829,,,0.05,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,higher_order,not_specified,1.6494
4,004_06,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 2,cognitive,evaluate,20.0,20.0,4.2,0.92,3.2,0.79,1.1431,0.3411,0.4745,1.8116,1.1662,,,0.05,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,higher_order,not_specified,1.1431
4,004_07,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 1,cognitive,understand,20.0,20.0,4.4,0.97,3.0,1.33,1.1789,0.3426,0.5074,1.8503,1.2027,,,0.01,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,lower_order,not_specified,1.1789
4,004_08,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 2,cognitive,understand,20.0,20.0,4.4,0.84,2.0,0.82,2.8339,0.4476,1.9565,3.7113,2.8914,,,0.01,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,lower_order,not_specified,2.8339
4,004_09,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 1,affective,not_reported,20.0,20.0,3.6,0.97,2.7,0.82,0.9822,0.3348,0.3261,1.6383,1.0021,,,0.01,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,not_classified,not_specified,0.9822
4,004_10,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 2,affective,not_reported,20.0,20.0,4.2,0.63,3.2,0.82,1.3404,0.3499,0.6546,2.0263,1.3676,,,0.005,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,not_classified,not_specified,1.3404
4,004_11,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 1 Performance - Arm 1 vs Arm 2,cognitive,apply,20.0,20.0,71.43,15.06,54.29,23.13,0.8608,0.3305,0.2129,1.5086,0.8782,,,0.065,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,lower_order,not_specified,0.8608
4,004_12,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 2 Performance - Arm 2 vs Arm 1,cognitive,apply,20.0,20.0,63.33,18.92,68.33,26.59,-0.2124,0.3171,-0.8339,0.4092,-0.2167,,,0.634,,RCT,not_reported,OpenAlex,10.20944/preprints202506.1254.v1,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,,lower_order,not_specified,-0.2124
5,005_01,ChatGPT for Operating Systems: Higher-Order Thinking in Focus,2025,Mohammed Ahmed Kofahi; A. Husain,HOT tasks performance,cognitive,analyze,23.0,30.0,28.74,9.896,23.1,8.486,0.6092,0.2834,0.0538,1.1647,0.6184,,4.977,0.03,0.089,RCT,not_reported,OpenAlex,10.28945/5382,,,,,,,,,,,high,13.0,18.0,10.0,12.0,,,,,,,Control,Experimental,"Table 1 shows participant demographics by group. 53 undergraduate students from OS course at al-Bayt University in Jordan, 2022-2023. Control group (n=23): 10 male, 13 female. Experimental group (n=30): 12 male, 18 female.",undergraduate,undergraduate,higher_order,mixed,0.6092
6,006_01,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,critical thinking gains,cognitive,evaluate,120.0,120.0,78.6,8.4,66.3,9.1,1.4002,0.1441,1.1178,1.6825,1.4046,,42.7,<0.001,0.15,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,higher_order,mixed,1.4002
6,006_02,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,logical coherence,cognitive,analyze,120.0,120.0,4.2,0.5,3.5,0.6,1.3059,0.1421953967404242,,,1.31,10.1,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,higher_order,mixed,1.3059
6,006_03,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,evidence use,cognitive,evaluate,120.0,120.0,4.0,0.6,3.2,0.7,1.1962,0.140170242027329,,,1.2,9.3,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,higher_order,mixed,1.1962
6,006_04,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,originality,cognitive,create,120.0,120.0,3.9,0.6,3.1,0.8,1.1165,0.1387937037026536,,,1.12,8.7,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,higher_order,mixed,1.1165
6,006_05,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,lexical sophistication,cognitive,apply,120.0,120.0,55.2,5.4,48.6,6.1,0.9669,0.1364344745809015,,,0.97,7.5,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,lower_order,mixed,0.9669
6,006_06,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,syntactic complexity,cognitive,apply,120.0,120.0,40.1,4.8,34.7,5.2,0.8772,0.135165637891687,,,0.88,6.8,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,lower_order,mixed,0.8772
6,006_07,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,text cohesion,cognitive,analyze,120.0,120.0,4.1,0.5,3.4,0.7,1.266,0.1414416546377574,,,1.27,9.8,,<0.001,,quasi-experimental,not_reported,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,higher_order,mixed,1.266
6,006_08,Cognitive Offload Instruction with Generative AI: A Quasi‑Experimental Study on Critical Thinking Gains in English Writing,2025,Hui Hong; Poonsri Vate-U-Lan; Chantana Viriyavejakul,cognitive offloading behavior,behavioral,not_reported,120.0,120.0,1.45,0.12,0.001,1.21,1.68,0.1502,1.3857,1.9743,1.6853,,,,,quasi-experimental,ChatGPT,OpenAlex,10.30564/fls.v7i7.10072,,,,,,,,,,,low,,,,,,,,,first-year,first-year,Control,AI-enabled Offload,"240 first-year English majors from four colleges, 120 per condition. No baseline demographics table visible in provided pages.",undergraduate,undergraduate,not_classified,mixed,1.68
7,007_01,Cross-lingual effects of AI-generated content on human work,2025,Wesley Wu-Yi Koo,not_reported,not_reported,not_reported,240.0,240.0,,,,,,,,,,,,,,RCT,ChatGPT,OpenAlex,10.1038/s41598-025-16650-w,,,,,,,,,,,high,,,,,,,,,,,,,Study 2 involved 480 participants (160 per language group) randomly assigned to control/AI treatment groups. Demographics referenced in SI Tables S3 and S4 but not visible in provided pages.,,,not_classified,not_specified,
8,008_01,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Cognitive competency,cognitive,understand,210.0,210.0,4.1,0.5,2.3,0.6,3.0,0.1487,2.9619,3.545,3.2593,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,lower_order,not_specified,3.2534
8,008_02,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Technical proficiency,cognitive,apply,210.0,210.0,3.9,0.6,2.3,0.7,2.4499,0.1291,2.1968,2.7029,2.4543,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,lower_order,not_specified,2.4499
8,008_03,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Application capability,cognitive,apply,210.0,210.0,4.0,0.4,2.6,0.5,3.0,0.1444,2.8034,3.3696,3.0921,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,lower_order,not_specified,3.0865
8,008_04,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Innovation competency,cognitive,create,210.0,210.0,3.7,0.5,2.4,0.6,2.3497,0.1269,2.101,2.5984,2.3539,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,higher_order,not_specified,2.3497
8,008_05,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Collaborative skills,behavioral,not_reported,210.0,210.0,3.8,0.4,2.7,0.5,2.4251,0.1286,2.1732,2.6771,2.4295,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,not_classified,not_specified,2.4251
8,008_06,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025,Litian Hong,Overall AI literacy,cognitive,understand,210.0,210.0,3.9,0.3,2.5,0.4,3.0,0.1677,3.624,4.2814,3.9598,,,0.001,,RCT,not_reported,OpenAlex,10.1038/s41598-025-15202-6,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographic table found in provided pages. Study mentions 420 students randomly assigned to intervention vs control groups across 6 institutions, but group-specific characteristics not presented.",,,lower_order,not_specified,3.9527
10,010_01,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,SAT Score,cognitive,not_reported,71.0,124.0,1194.0,183.2,1311.0,163.9,-0.6809,0.1528,-0.9804,-0.3815,-0.6836,,,<0.001,,RCT,GPT-based tools,Frontiers in Education,10.3389/feduc.2025.1506752,,,,,,,,,,,high,,,,,,,,,,,,,"Study uses within-subjects design with performance-based splits rather than traditional control/treatment groups. Tables 1 and 2 show characteristics by performance levels, not by intervention groups.",,,not_classified,not_specified,-0.6809
10,010_02,Differential Effects of GPT-Based Tools on Comprehension of Standardized Passages,2025,Hudson K. Etkin; Kai J. Etkin; Ryan J. Carter; Camarin E. Rolle,SAT Score,cognitive,not_reported,71.0,71.0,1131.4,117.7,1420.3,86.0,-2.7877,0.2357,-3.2496,-2.3259,-2.8028,,,<0.001,,RCT,GPT-based tools,Frontiers in Education,10.3389/feduc.2025.1506752,,,,,,,,,,,high,,,,,,,,,,,,,"Study uses within-subjects design with performance-based splits rather than traditional control/treatment groups. Tables 1 and 2 show characteristics by performance levels, not by intervention groups.",,,not_classified,not_specified,-2.7877
